callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
callsign,contour_type,0.0,source_file,,,,,Unknown,,,
KVNR,night_2,5.294406648958102,KVNR_2_N_as1.kml,33.7516666666667,-117.910555555556,1480.0,5.0,California,CA,SANTA ANA,ESTRELLA RADIO LICENSE OF CALIFORNIA LLC
WPVW,day_0.5,1.0998918387340382,WPVW_0.5_D_as1.kml,44.3460833333333,-91.9782222222222,1190.0,1.0,Upper Midwest,MN,WABASHA,"Q MEDIA GROUP, LLC"
WKNG,night_2,0.34542139316909015,WKNG_2_N_as1.kml,33.7351111111111,-85.2521666666667,1060.0,15.0,Southeast,GA,TALLAPOOSA,"WKNG, LLC"
KXLQ,night_2,0.2902703264262527,KXLQ_2_N_as1.kml,41.3566666666667,-93.5877777777778,1490.0,0.5,Plains,IA,INDIANOLA,BIRACH BROADCASTING CORPORATION
WRVK,day_0.5,0.6006822141353041,WRVK_0.5_D_as1.kml,37.3970277777778,-84.3291111111111,1460.0,1.2,Mid-South,KY,MOUNT VERNON,"SAYLOR BROADCASTING, INC."
KJNO,night_2,1.8813279571477324,KJNO_2_N_as1.kml,58.3293888888889,-134.473166666667,630.0,1.0,Alaska,AK,JUNEAU,"ALASKA BROADCAST COMMUNICATIONS, INC"
KWUL,day_2,0.5657502139220014,KWUL_2_D_as1.kml,38.7592222222222,-90.0501111111111,920.0,0.5,Mid-South,MO,ST. LOUIS,"East Central Broadcasting, LLC"
WOL,day_0.5,0.18214468634687364,WOL_0.5_D_as1.kml,38.9553888888889,-77.0038611111111,1450.0,0.37,Mid-Atlantic,DC,WASHINGTON,"RADIO ONE LICENSES, LLC"
WTOU,night_2,0.14453636319376528,WTOU_2_N_as1.kml,,,,,Unknown,,,
WCRN,day_0.5,4.532756382948719,WCRN_0.5_D_as1.kml,42.2473055555556,-71.9306388888889,830.0,50.0,Northeast,MA,WORCESTER,CARTER BROADCASTING CORPORATION
KFBC,day_0.5,1.1006650233175606,KFBC_0.5_D_as3.kml,41.1213611111111,-104.839972222222,1240.0,0.7,Rockies,WY,CHEYENNE,MONTGOMERY BROADCASTING L.L.C.
WXIC,day_2,0.28035186661873013,WXIC_2_D_as1.kml,39.1305555555556,-83.0127777777778,660.0,1.0,Great Lakes,OH,WAVERLY,"Total Media Group, Inc."
KCFO,night_2,1.6475527016445994,KCFO_2_N_as1.kml,36.1961944444444,-96.0397222222222,970.0,1.0,Plains,OK,TULSA,"SMG - TULSA, LLC"
KTLK,day_2,1.6263251439668238,KTLK_2_D_as1.kml,44.6466666666667,-93.3919444444445,1130.0,50.0,Upper Midwest,MN,MINNEAPOLIS,"IHM LICENSES, LLC"
WLAP,day_2,1.8936521810246632,WLAP_2_D_as1.kml,38.1236111111111,-84.4458333333333,630.0,1.0,Mid-South,KY,LEXINGTON,"IHM LICENSES, LLC"
WPNN,night_2,1.0230965507798828,WPNN_2_N_as1.kml,30.4526944444444,-87.2405277777778,790.0,0.066,Southeast,FL,PENSACOLA,"MIRACLE RADIO, INC."
KSUE,day_0.5,1.0673421766841784,KSUE_0.5_D_as1.kml,40.39583333333329,-120.627694444444,1240.0,1.0,California,CA,SUSANVILLE,SIERRA BROADCASTING CORPORATION
KKOH,night_2,4.1697267547715455,KKOH_2_N_as1.kml,39.6779722222222,-119.802694444444,780.0,50.0,Southwest,NV,RENO,"RADIO LICENSE HOLDING CBC, LLC"
WERE,day_2,0.2636229421477765,WERE_2_D_as1.kml,41.51333333333329,-81.6013888888889,1490.0,1.0,Great Lakes,OH,CLEVELAND HEIGHTS,"BLUE CHIP BROADCASTING LICENSES, LTD"
WFDR,day_2,0.15513103088596836,WFDR_2_D_as1.kml,32.8873611111111,-84.59825,1370.0,2.3,Southeast,GA,MANCHESTER,"PLOENER RADIO GROUP, LLC"
KWYO,day_0.5,2.1141351690748706,KWYO_0.5_D_as1.kml,44.7983055555556,-106.931444444444,1410.0,5.0,Rockies,WY,SHERIDAN,"LOVCOM, INC."
WKBH,day_2,0.10523676197044551,WKBH_2_D_as1.kml,43.9235833333333,-91.2706944444444,1570.0,0.36,Great Lakes,WI,HOLMEN,"RELEVANT RADIO, INC."
WVOP,night_2,0.48594483750639483,WVOP_2_N_as1.kml,32.2201944444444,-82.4351388888889,970.0,0.06,Southeast,GA,VIDALIA,"RADIOJONES, LLC"
WKOO,day_2,0.7386895344825462,WKOO_2_D_as1.kml,34.8635,-78.0375,710.0,2.5,Southeast,NC,ROSE HILL,"Mega Media, Inc."
WZRK,day_2,0.3220419997815043,WZRK_2_D_as1.kml,42.9194444444444,-90.1351111111111,810.0,0.25,Great Lakes,WI,DODGEVILLE,"DODGE POINT BROADCASTING COMPANY, INC."
WVNZ,day_2,0.0498424579272978,WVNZ_2_D_as3.kml,37.5441666666667,-77.3463888888889,1450.0,0.96,Mid-Atlantic,VA,HIGHLAND SPRINGS,"MOBILE RADIO PARTNERS, INC."
WNRI,day_2,0.10380285722203553,WNRI_2_D_as1.kml,42.0161111111111,-71.4916666666667,1380.0,0.018,Northeast,RI,WOONSOCKET,"BOUCHARD BROADCASTING, INC."
WBHN,night_2,0.032703934353776276,WBHN_2_N_as1.kml,35.4280555555556,-83.4383333333333,1590.0,0.5,Southeast,NC,BRYSON CITY,"FIVE FORTY BROADCASTING COMPANY, LLC"
WSYW,day_0.5,1.92592201649677,WSYW_0.5_D_as1.kml,39.72561111111111,-86.1855555555556,810.0,0.25,Great Lakes,IN,INDIANAPOLIS,"CONTINENTAL BROADCAST GROUP, LLC"
WBEL,day_2,0.7047243184642866,WBEL_2_D_as1.kml,42.4594444444445,-89.0286111111111,1380.0,5.0,Great Lakes,IL,SOUTH BELOIT,
WLGJ,day_2,0.15064782148692757,WLGJ_2_D_as1.kml,40.8941666666667,-78.1975,1260.0,5.0,Great Lakes,PA,PHILIPSBURG,"Southern Belle, LLC"
WEEI,day_0.5,30.390375985880382,WEEI_0.5_D_as1.kml,42.278166666666706,-71.2667222222222,850.0,50.0,Northeast,MA,BOSTON,"Audacy License, LLC"
KVOM,day_0.5,1.1238964941585436,KVOM_0.5_D_as1.kml,35.1578611111111,-92.7679444444444,800.0,0.04,Mid-South,AR,MORRILTON,"EAB OF MORRILTON, LLC"
WASC,day_2,0.05239977076416835,WASC_2_D_as1.kml,34.9494444444444,-81.9591666666667,1530.0,0.25,Southeast,SC,SPARTANBURG,NEW SOUTH BROADCASTING CORPORATION
WWDR,day_0.5,0.37158450565766543,WWDR_0.5_D_as1.kml,36.4401666666667,-77.1358055555556,1080.0,0.93,Southeast,NC,MURFREESBORO,"Byrne Acquisition Group, LLC"
WUSP,night_2,0.10968485870398581,WUSP_2_N_as1.kml,43.1133333333333,-75.2569444444444,1550.0,1.0,Northeast,NY,UTICA,"PHOENIX RADIO, INC."
WGBN,day_0.5,0.45061072858516127,WGBN_0.5_D_as1.kml,40.3114722222222,-79.8495,1360.0,1.0,Great Lakes,PA,MCKEESPORT,PENTECOSTAL TEMPLE DEVELOPMENT CORPORATION
KCNI,night_2,1.034370159264654,KCNI_2_N_as1.kml,41.4086111111111,-99.6744444444445,1280.0,1.0,Plains,NE,BROKEN BOW,CUSTER COUNTY BROADCASTING CO.
KOAZ,day_0.5,2.9182181510841474,KOAZ_0.5_D_as1.kml,34.9795,-106.737527777778,1510.0,5.0,Southwest,NM,ISLETA,VANGUARD MEDIA LLC
WEKT,day_0.5,0.5743999830447137,WEKT_0.5_D_as1.kml,36.8092222222222,-87.1605555555556,1070.0,0.018,Mid-South,KY,ELKTON,"HAM Broadcasting Company, Inc."
KKAY,day_0.5,0.858621170045808,KKAY_0.5_D_as1.kml,30.1836111111111,-91.1075,1590.0,0.067,Gulf Coast,LA,WHITE CASTLE,LIBERTY IN CHRIST JESUS MINISTRY
WJPA,night_2,0.1250798529945314,WJPA_2_N_as3.kml,40.1897222222222,-80.2338888888889,1450.0,1.0,Great Lakes,PA,WASHINGTON,WASHINGTON BROACASTING COMPANY
KSTE,day_0.5,35.57205275492743,KSTE_0.5_D_as1.kml,38.4796388888889,-121.278277777778,650.0,21.4,California,CA,RANCHO CORDOVA,"IHM LICENSES, LLC"
WTJV,day_2,0.04783965914975852,WTJV_2_D_as1.kml,29.0183055555556,-81.2995,1490.0,1.0,Southeast,FL,DELAND,"J & V COMMUNICATIONS, INC."
WBLQ,day_2,1.210267832619138,WBLQ_2_D_as1.kml,41.3659444444444,-71.8358888888889,1230.0,1.0,Northeast,RI,WESTERLY,
WAGY,night_2,0.06380938284564763,WAGY_2_N_as1.kml,35.3545555555556,-81.8793055555556,1320.0,1.0,Southeast,NC,FOREST CITY,"KTC BROADCASTING, INC."
WISS,day_0.5,2.3666271183174103,WISS_0.5_D_as1.kml,43.948611111111106,-88.9858333333333,1100.0,2.5,Great Lakes,WI,BERLIN,"Civic Media, Inc."
KRPI,day_0.5,3.9495522612705827,KRPI_0.5_D_as1.kml,48.8430555555556,-122.601388888889,1550.0,10.0,Pacific Northwest,WA,FERNDALE,"BBC Broadcasting, Inc."
WETB,night_2,0.6859007950406522,WETB_2_N_as1.kml,36.3286111111111,-82.4108333333333,790.0,5.0,Mid-South,TN,JOHNSON CITY,KENNETH C. HILL
KTTR,day_0.5,0.8002001486020163,KTTR_0.5_D_as1.kml,37.9444722222222,-91.7448888888889,1490.0,1.0,Mid-South,MO,ROLLA,"KTTR-KZNN, INC."
KCQL,night_2,0.23875025671441108,KCQL_2_N_as3.kml,36.8213888888889,-107.999444444444,1340.0,1.0,Southwest,NM,AZTEC,"IHM LICENSES, LLC"
KSWV,day_2,1.7723523499444127,KSWV_2_D_as1.kml,35.7014166666667,-105.966694444444,810.0,5.0,Southwest,NM,SANTA FE,GCBENDITO 4 LLC
WQCD,night_2,0.14065074524842203,WQCD_2_N_as1.kml,40.2988888888889,-83.0461111111111,1550.0,0.5,Great Lakes,OH,DELAWARE,"DELMAR COMMUNICATIONS, INC."
WTAX,day_0.5,2.548695116536692,WTAX_0.5_D_as3.kml,39.7933333333333,-89.605,1240.0,1.0,Great Lakes,IL,SPRINGFIELD,"SAGA COMMUNICATIONS OF ILLINOIS, LLC"
WEED,night_2,0.1306679696426727,WEED_2_N_as1.kml,35.9621111111111,-77.8260833333333,1390.0,0.03,Southeast,NC,ROCKY MOUNT,NORTHSTAR BROADCASTING CORPORATION
KCLW,day_2,0.5134509175550193,KCLW_2_D_as1.kml,31.7190555555556,-98.1444722222222,900.0,0.01,Gulf Coast,TX,HAMILTON,CTI Media Productions LLC
WNTP,day_2,1.30899556085933,WNTP_2_D_as1.kml,40.0953888888889,-75.2765555555556,990.0,50.0,Great Lakes,PA,PHILADELPHIA,SALEM COMMUNICATIONS HOLDING CORPORATION
KADS,day_0.5,2.2483081278624013,KADS_0.5_D_as3.kml,35.3808333333333,-99.4069444444445,1240.0,1.0,Plains,OK,ELK CITY,"PARAGON COMMUNICATIONS, INC."
KBOB,night_2,0.37805893062613904,KBOB_2_N_as1.kml,41.3891944444444,-90.5168055555556,1170.0,1.0,Plains,IA,DAVENPORT,"Townsquare License, LLC"
WHBN,night_2,0.12866808369290084,WHBN_2_N_as1.kml,37.7341666666667,-84.8138888888889,1420.0,1.0,Mid-South,KY,HARRODSBURG,HOMETOWN BROADCASTING OF HARRODSBURG INC
KXPS,day_0.5,1.049932768335566,KXPS_0.5_D_as1.kml,33.8430833333333,-116.428333333333,1010.0,3.6,California,CA,THOUSAND PALMS,"CRC MEDIA WEST, LLC"
KRBA,night_2,0.21344007458537817,KRBA_2_N_as3.kml,31.3649166666667,-94.7190833333333,1340.0,1.0,Gulf Coast,TX,LUFKIN,KASA FAMILY LIMITED PARTNERSHIP
KKOW,day_0.5,13.25409385736566,KKOW_0.5_D_as1.kml,37.4128333333333,-94.638,860.0,5.0,Plains,KS,PITTSBURG,"American Media Investments, Inc."
WRAK,day_0.5,0.2693464900366962,WRAK_0.5_D_as3.kml,41.2394444444444,-77.0408333333333,1400.0,1.0,Great Lakes,PA,WILLIAMSPORT,"IHM LICENSES, LLC"
WTTM,day_0.5,0.816286358400248,WTTM_0.5_D_as1.kml,39.8877777777778,-75.0011111111111,1680.0,10.0,Mid-Atlantic,NJ,LINDENWOLD,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC"
KBMO,day_2,0.2232198076089844,KBMO_2_D_as1.kml,45.3183055555556,-95.5636388888889,1290.0,0.024,Upper Midwest,MN,BENSON,Lakeland Media LLC
WCHK,day_2,0.19696139759616926,WCHK_2_D_as1.kml,34.2523055555556,-84.4635277777778,1290.0,10.0,Southeast,GA,CANTON,"DAVIS BROADCASTING OF ATLANTA, L.L.C."
KTCR,night_2,0.4948463696055114,KTCR_2_N_as1.kml,46.6401388888889,-120.597833333333,980.0,5.0,Pacific Northwest,WA,SELAH,"SMG-YAKIMA, LLC"
WHNC,night_2,0.14993087039329112,WHNC_2_N_as1.kml,36.3356944444445,-78.3694444444444,890.0,1.0,Southeast,NC,HENDERSON,"THE PARADISE NETWORK (TPN) OF NORTH CAROLINA, INC."
WDYZ,night_2,0.4344174590660259,WDYZ_2_N_as1.kml,28.6933333333333,-81.3489444444444,660.0,3.5,Southeast,FL,ALTAMONTE SPRINGS,Norsan Media LLC
WLLL,day_0.5,1.372951704543084,WLLL_0.5_D_as1.kml,37.4070833333333,-79.23225,930.0,9.0,Mid-Atlantic,VA,LYNCHBURG,"HUBBARD'S ADVERTISING AGENCY, INC."
KMIN,day_2,1.277805072721094,KMIN_2_D_as1.kml,35.0975277777778,-107.872555555556,980.0,0.23,Southwest,NM,GRANTS,"KD RADIO, INC."
WDLC,night_2,0.06505857419688255,WDLC_2_N_as3.kml,41.3636111111111,-74.6780555555556,1490.0,1.0,Northeast,NY,PORT JERVIS,"NEVERSINK RADIO, LLC"
WEDO,night_2,0.4421758553944528,WEDO_2_N_as1.kml,40.3642222222222,-79.8125555555556,810.0,1.0,Great Lakes,PA,MCKEESPORT,"Broadcast Communications, Inc."
WJNX,day_2,5.544906517199706,WJNX_2_D_as1.kml,27.4555555555556,-80.3672222222222,1330.0,5.0,Southeast,FL,FORT PIERCE,"BMZ BROADCASTING, LLC"
KGSV,day_0.5,9.653984825476073,KGSV_0.5_D_as1.kml,35.4527777777778,-118.944444444444,660.0,6.0,California,CA,OILDALE,XL MEDIA (CA) INC.
KELY,night_2,0.08979726582765579,KELY_2_N_as3.kml,39.2625,-114.862777777778,1230.0,0.25,Southwest,NV,ELY,"Ely Radio, LLC"
WTWZ,day_0.5,2.7384248800808564,WTWZ_0.5_D_as1.kml,32.3508333333333,-90.3394444444444,1120.0,2.5,Gulf Coast,MS,CLINTON,WOOD BROADCASTING CO.
WELI,night_2,0.4786518372129649,WELI_2_N_as1.kml,41.3706666666667,-72.9370555555556,960.0,5.0,Northeast,CT,NEW HAVEN,"IHM LICENSES, LLC"
WNAX,night_2,10.159224484814331,WNAX_2_N_as1.kml,42.9130555555556,-97.3161111111111,570.0,5.0,Upper Midwest,SD,YANKTON,"SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC"
KTBR,day_2,0.5480895845685154,KTBR_2_D_as1.kml,43.1687222222222,-123.375638888889,950.0,0.02,Pacific Northwest,OR,ROSEBURG,SOUTHERN OREGON UNIVERSITY
WHBQ,day_0.5,8.717521732207388,WHBQ_0.5_D_as1.kml,35.2533333333333,-90.0475,560.0,5.0,Mid-South,TN,MEMPHIS,FLINN BROADCASTING CORPORATION
WHBB,night_2,0.14430599403567612,WHBB_2_N_as3.kml,32.4338888888889,-87.0111111111111,1490.0,1.0,Gulf Coast,AL,SELMA,"BROADSOUTH COMMUNICATIONS, INC."
WEDI,day_2,0.22670259466394782,WEDI_2_D_as1.kml,39.7486111111111,-84.5838888888889,1130.0,0.25,Great Lakes,OH,EATON,"TOWN AND COUNTRY BROADCASTING, INC."
WGTK,day_0.5,2.6942878966219723,WGTK_0.5_D_as1.kml,38.3181388888889,-85.7441388888889,970.0,5.0,Mid-South,KY,LOUISVILLE,"WORD BROADCASTING NETWORK, INC."
WCHM,day_0.5,0.17874516581650823,WCHM_0.5_D_as1.kml,34.6075833333333,-83.5373888888889,1490.0,0.79,Southeast,GA,CLARKESVILLE,"Cleiman Communications, LLC"
KAWL,day_0.5,2.2042916965438053,KAWL_0.5_D_as1.kml,40.8427777777778,-97.5883888888889,1370.0,0.5,Plains,NE,YORK,NEBRASKA RURAL RADIO ASSOCIATION
WNRP,day_0.5,16.53939812508179,WNRP_0.5_D_as1.kml,30.4368611111111,-87.22025,1620.0,10.0,Southeast,FL,GULF BREEZE,ADX COMMUNICATIONS OF ESCAMBIA
KYAL,night_2,0.4642721866257489,KYAL_2_N_as1.kml,36.0188888888889,-96.0986111111111,1550.0,0.04,Plains,OK,SAPULPA,"KXOJ, INC."
KOKL,night_2,0.6493821043986827,KOKL_2_N_as3.kml,35.6086111111111,-95.9719444444445,1240.0,1.0,Plains,OK,OKMULGEE,"THIRD DAY BROADCASTING, INC."
KDJW,day_0.5,9.789863412734121,KDJW_0.5_D_as1.kml,35.1842222222222,-101.691555555556,1010.0,5.0,Gulf Coast,TX,AMARILLO,La Promesa Foundation
KLVL,day_2,1.3165109147666954,KLVL_2_D_as1.kml,29.6841111111111,-95.1860555555556,1480.0,0.5,Gulf Coast,TX,PASADENA,SIGA BROADCASTING CORPORATION
KMRB,night_2,6.204040364478715,KMRB_2_N_as1.kml,34.1188888888889,-118.081666666667,1430.0,50.0,California,CA,SAN GABRIEL,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC"
WWAB,day_0.5,0.28795022604754195,WWAB_0.5_D_as1.kml,28.0444444444444,-81.9744444444444,1330.0,1.0,Southeast,FL,LAKELAND,"WALCO ENTERPRISES, LLC"
WHYN,day_0.5,1.8779955661157146,WHYN_0.5_D_as1.kml,42.1936111111111,-72.6838888888889,560.0,5.0,Northeast,MA,SPRINGFIELD,"IHM LICENSES, LLC"
KFFN,day_2,0.3599508188199252,KFFN_2_D_as3.kml,32.2488888888889,-110.924722222222,1490.0,1.0,Southwest,AZ,TUCSON,Arizona Lotus Corp.
WABC,day_2,7.055314514553174,WABC_2_D_as1.kml,40.8806666666667,-74.0693055555556,770.0,50.0,Northeast,NY,NEW YORK,"RED APPLE MEDIA, INC."
WWTX,day_2,0.26999268075451255,WWTX_2_D_as1.kml,39.7341666666667,-75.5288888888889,1290.0,0.032,Mid-Atlantic,DE,WILMINGTON,"IHM LICENSES, LLC"
KPLS,day_0.5,2.3450197818456218,KPLS_0.5_D_as1.kml,39.8688888888889,-104.926944444444,1510.0,10.0,Rockies,CO,LITTLETON,RADIO 74 INTERNATIONALE
WEKZ,day_0.5,1.1270637856796384,WEKZ_0.5_D_as1.kml,42.5944444444445,-89.5927777777778,1260.0,1.0,Great Lakes,WI,MONROE,
KDQN,night_2,0.12642748898360878,KDQN_2_N_as1.kml,34.0326111111111,-94.3288055555556,1390.0,0.5,Mid-South,AR,DE QUEEN,"BUNYARD BROADCASTING, INC."
KMRF,day_2,0.4826829246012494,KMRF_2_D_as1.kml,37.3192222222222,-92.9621111111111,1510.0,1.6,Mid-South,MO,MARSHFIELD,"NEW LIFE EVANGELISTIC CENTER, INC"
KBRL,day_2,2.2400972350733355,KBRL_2_D_as1.kml,40.1919444444444,-100.651666666667,1300.0,5.0,Plains,NE,MCCOOK,"ARMADA MEDIA - MCCOOK, INC."
WOLH,day_2,0.1502057536272332,WOLH_2_D_as3.kml,34.23,-79.7469444444445,1230.0,1.0,Southeast,SC,FLORENCE,"COMMUNITY BROADCASTERS, LLC"
WBRV,day_0.5,1.170355180511251,WBRV_0.5_D_as1.kml,43.5131388888889,-75.3623888888889,900.0,1.0,Northeast,NY,BOONVILLE,THE FLACK BROADCASTING GROUP L.L.C.
WSIR,day_0.5,0.1888681435957551,WSIR_0.5_D_as3.kml,28.0138888888889,-81.7505555555556,1490.0,1.0,Southeast,FL,WINTER HAVEN,Walco Enterprises LLC
WPGY,day_2,0.03685351856984198,WPGY_2_D_as1.kml,34.69925,-84.47825,1580.0,0.5,Southeast,GA,ELLIJAY,"CARRIAGE RADIO, LLC"
KLNG,day_2,1.6933070769300684,KLNG_2_D_as1.kml,41.2077777777778,-95.9069444444445,1560.0,10.0,Plains,IA,COUNCIL BLUFFS,"WILKINS COMMUNICATIONS NETWORK, INC."
WFAB,day_0.5,7.653378995193634,WFAB_0.5_D_as3.kml,18.2044444444444,-65.7111111111111,890.0,0.25,Unknown,PR,CEIBA,DANIEL ROSARIO DIAZ
KJON,day_2,3.318261847831309,KJON_2_D_as1.kml,33.2784444444444,-96.8213888888889,850.0,5.0,Gulf Coast,TX,CARROLLTON,"CHATHAM HILL FOUNDATION, INC."
WNSW,day_2,1.0022536077303812,WNSW_2_D_as1.kml,40.849833333333294,-74.1826388888889,1430.0,7.0,Mid-Atlantic,NJ,NEWARK,"Relevant Radio, Inc."
WOZK,day_0.5,1.0599685901543126,WOZK_0.5_D_as1.kml,31.4552777777778,-85.6827777777778,900.0,0.07,Gulf Coast,AL,OZARK,"Autaugaville Radio, Inc."
WCHM,night_2,0.048943290021270514,WCHM_2_N_as1.kml,34.6075833333333,-83.5373888888889,1490.0,0.79,Southeast,GA,CLARKESVILLE,"Cleiman Communications, LLC"
KJCK,day_0.5,3.464932222967036,KJCK_0.5_D_as1.kml,39.0258333333333,-96.81,1420.0,1.0,Plains,KS,JUNCTION CITY,"Eagle Communications, Inc."
WZZW,day_0.5,0.5426938529126346,WZZW_0.5_D_as1.kml,38.4294444444444,-82.1058333333333,1600.0,0.026,Mid-Atlantic,WV,MILTON,"Pure Media Ministries, Inc."
KULY,day_0.5,1.790125984349288,KULY_0.5_D_as1.kml,37.5480555555556,-101.363611111111,1420.0,0.5,Plains,KS,ULYSSES,"Western Kansas Broadcast Center, LLC"
WELD,day_2,0.5544913387857378,WELD_2_D_as1.kml,39.0523333333333,-79.0055833333333,690.0,0.5,Mid-Atlantic,WV,FISHER,"Save Our Station, LLC"
KAND,night_2,0.5554376599611714,KAND_2_N_as3.kml,32.1147222222222,-96.4630555555556,1340.0,1.0,Gulf Coast,TX,CORSICANA,"NEW CENTURY BROADCASTING, LLC"
KSAL,day_0.5,9.983664615312591,KSAL_0.5_D_as1.kml,38.8841666666667,-97.5175277777778,1150.0,5.0,Plains,KS,SALINA,"MERIDIAN MEDIA, LLC"
WJRM,night_2,0.1156164383282885,WJRM_2_N_as1.kml,35.3620833333333,-79.8603333333333,1390.0,1.0,Southeast,NC,TROY,"FAMILY WORSHIP MINISTRIES, INC."
KOKP,day_0.5,3.5315677896142006,KOKP_0.5_D_as1.kml,36.2597222222222,-97.2169444444445,1020.0,0.4,Plains,OK,PERRY,"TEAM RADIO, L.L.C."
KQLL,day_2,1.0198216715361923,KQLL_2_D_as1.kml,36.2108055555556,-115.163888888889,1280.0,5.0,Southwest,NV,HENDERSON,"S & R BROADCASTING, INC."
WNCO,day_0.5,1.0480728801339865,WNCO_0.5_D_as3.kml,40.8402777777778,-82.3572222222222,1340.0,1.0,Great Lakes,OH,ASHLAND,"IHM LICENSES, LLC"
KUJ,day_0.5,2.1742250634124503,KUJ_0.5_D_as1.kml,46.067083333333294,-118.402472222222,1420.0,5.0,Pacific Northwest,WA,WALLA WALLA,"ALEXANDRA COMMUNICATIONS, INC."
KDGO,night_2,0.1671130844624713,KDGO_2_N_as3.kml,37.305,-107.857555555556,1240.0,1.0,Rockies,CO,DURANGO,"Hutton Broadcasting, LLC"
KWAM,day_0.5,4.00866239098832,KWAM_0.5_D_as1.kml,35.1345277777778,-90.0939722222222,990.0,10.0,Mid-South,TN,MEMPHIS,"STARNES MEDIA GROUP, LLC"
WPJX,day_2,0.16598074417561293,WPJX_2_D_as1.kml,42.4553055555556,-87.9009166666667,1500.0,0.002,Great Lakes,IL,ZION,"POLNET COMMUNICATIONS, LTD."
WPRD,night_2,0.10825668147299439,WPRD_2_N_as1.kml,28.5883333333333,-81.3813888888889,1440.0,1.0,Southeast,FL,WINTER PARK,"J & V COMMUNICATIONS, INC."
KROF,day_2,1.3897916267160326,KROF_2_D_as1.kml,30.0111111111111,-92.1225,960.0,0.095,Gulf Coast,LA,ABBEVILLE,"TOWNSQUARE MEDIA OF LAFAYETTE, LLC"
KGOW,day_0.5,7.8455427851877175,KGOW_0.5_D_as1.kml,29.3271944444444,-95.5502222222222,1560.0,15.0,Gulf Coast,TX,BELLAIRE,"GOW MEDIA, LLC"
WBGZ,night_2,0.4875087598338723,WBGZ_2_N_as1.kml,38.9281111111111,-90.2176111111111,1570.0,0.074,Great Lakes,IL,ALTON,"METROPLEX COMMUNICATIONS, INC."
KCKN,day_2,2.794355087680742,KCKN_2_D_as1.kml,33.4648055555556,-104.499972222222,1020.0,50.0,Southwest,NM,ROSWELL,Radio Vision Cristiana Subsidiary Corp.
WMGE,day_2,0.2426714266766794,WMGE_2_D_as1.kml,32.8045833333333,-83.6043333333333,1670.0,10.0,Southeast,GA,DRY BRANCH,"IHM LICENSES, LLC"
KENT,day_2,0.7369915466988459,KENT_2_D_as1.kml,36.0110833333333,-115.241944444444,1540.0,3.7,Southwest,NV,ENTERPRISE,El Sembrador Ministries
KASO,day_2,0.6028433970641345,KASO_2_D_as3.kml,32.6305555555556,-93.2822222222222,1240.0,1.0,Gulf Coast,LA,MINDEN,"MINDEN BROADCASTING, LLC"
WIYD,night_2,0.04879680328303948,WIYD_2_N_as1.kml,29.6519444444444,-81.5922222222222,1260.0,0.4,Southeast,FL,PALATKA,Blue Crab Broadcasting LLC
WOZN,day_0.5,1.7769317566417158,WOZN_0.5_D_as1.kml,43.0252777777778,-89.3962222222222,1670.0,1.0,Great Lakes,WI,MADISON,"MID-WEST MANAGEMENT, INC."
KTAM,day_0.5,0.8720839757006615,KTAM_0.5_D_as1.kml,30.6504722222222,-96.3495,1240.0,0.38,Gulf Coast,TX,BRYAN,"BRAZOS VALLEY COMMUNICATIONS, LTD."
WNWF,day_2,0.22190151462564245,WNWF_2_D_as1.kml,31.4415555555556,-86.9355277777778,1470.0,1.0,Gulf Coast,AL,EVERGREEN,"ANDALA ENTERPRISES, INC."
WKWL,day_2,0.05008838983485475,WKWL_2_D_as3.kml,31.0055555555556,-86.3313888888889,1230.0,1.0,Gulf Coast,AL,FLORALA,"FLORALA BROADCASTING CO., INC."
KAGO,day_2,0.6852505317656323,KAGO_2_D_as1.kml,42.2154166666667,-121.798611111111,1150.0,5.0,Pacific Northwest,OR,KLAMATH FALLS,"BASIN MEDIACTIVE, LLC"
WZRC,day_2,0.5624677976593375,WZRC_2_D_as1.kml,40.8451111111111,-74.0195833333333,1480.0,5.0,Northeast,NY,NEW YORK,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC"
KKTY,day_0.5,1.5652111273957416,KKTY_0.5_D_as1.kml,42.76333333333329,-105.392222222222,1470.0,1.0,Rockies,WY,DOUGLAS,"DOUGLAS BROADCASTING, INC."
WLOC,day_2,0.18872997630387545,WLOC_2_D_as1.kml,37.2691666666667,-85.9155555555556,1150.0,0.061,Mid-South,KY,MUNFORDVILLE,"FORBIS COMMUNICATIONS, INC."
WREY,night_2,0.9273913513170555,WREY_2_N_as1.kml,44.8669166666667,-92.9007777777778,630.0,3.0,Upper Midwest,MN,ST. PAUL,"630 RADIO, INCORPORATED"
WAJR,day_2,0.16383138368837535,WAJR_2_D_as1.kml,39.6761111111111,-80.0033333333333,1440.0,0.5,Mid-Atlantic,WV,MORGANTOWN,WEST VIRGINIA RADIO CORPORATION
WFBL,day_0.5,1.2022650095168501,WFBL_0.5_D_as1.kml,43.1527777777778,-76.1930555555556,1390.0,5.0,Northeast,NY,SYRACUSE,"WOLF RADIO, INC."
